Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
3470,Shashikant Yashwant Pendharkar,WASHIM (SC),IND,1,10th Pass,"Rs 72,63,326 ~ 72 Lacs+","Rs 1,77,000 ~ 1 Lacs+"
3471,Shatayu Sidram Bhagle,PARVATI,IND,0,10th Pass,,
3472,Sheela Shrikant Hegade,SHIROL,IND,0,5th Pass,"Rs 3,06,731 ~ 3 Lacs+","Rs 15,000 ~ 15 Thou+"
3473,Sheetal Mahadev Rokade,KAIJ (SC),Rashtriya Samaj Paksha,0,5th Pass,"Rs 25,000 ~ 25 Thou+",Rs 0 ~
3474,Sheetal Sanjay Bharmal,AMBEGAON,IND,0,Graduate,,
3475,Sheetal Vishwanath Gaikwad,WAI,IND,0,12th Pass,"Rs 1,55,000 ~ 1 Lacs+","Rs 1,00,000 ~ 1 Lacs+"
3476,Sheikh Rahmat Sheikh Inayat,AMRAVATI,IND,2,Graduate,Nil,Rs 0 ~
3477,Shekh Parwej Irnusabhai,HINGNA,Republican Party of India (A),0,12th Pass,,
3478,Shekhar Bhagwan Kadam,PURANDAR,IND,0,Post Graduate,"Rs 18,95,000 ~ 18 Lacs+",Rs 0 ~
3479,Shekhar Gangaram Nikam,CHIPLUN,IND,0,5th Pass,"Rs 1,10,374 ~ 1 Lacs+",Rs 0 ~
3480,Shekhar Ganpat Dunde,UMRED (SC),MNS,0,8th Pass,,
3481,Shekhar Govindrao Nikam,CHIPLUN,NCP,1,Post Graduate,"Rs 19,66,49,560 ~ 19 Crore+","Rs 1,24,24,640 ~ 1 Crore+"
3482,Shekhar Pramod Shende,WARDHA,INC,0,12th Pass,"Rs 8,19,53,112 ~ 8 Crore+","Rs 1,23,68,416 ~ 1 Crore+"
3483,Shengal Vikas Mohan,IGATPURI (ST),IND,1,10th Pass,,
3484,Sheshnarayan Bhanudas Khedkar,VADGAON SHERI,Bharatheeya Jawan Kisan Party,0,Graduate Professional,"Rs 61,75,041 ~ 61 Lacs+",Rs 0 ~
3485,Shilpa N. Kathane,TEOSA,Jan Janwadi Party,0,12th Pass,"Rs 3,14,000 ~ 3 Lacs+","Rs 40,000 ~ 40 Thou+"
3486,Shilwant Tatyarao Kale,SOLAPUR CITY NORTH,BSP,0,12th Pass,,
3487,Shinde Bhudev Kanhu,KHED ALANDI,IND,0,12th Pass,"Rs 2,03,82,000 ~ 2 Crore+",Rs 0 ~
3488,Shinde Sanjay Limbaraj,KARMALA,IND,0,5th Pass,"Rs 75,55,500 ~ 75 Lacs+","Rs 9,29,000 ~ 9 Lacs+"
3489,Shinde Sanjaymama Vithalrao,KARMALA,IND,1,Graduate,,
3490,Shirish Gunwant Sawant,BHANDUP WEST,MNS,0,Graduate,"Rs 3,48,25,915 ~ 3 Crore+",Rs 0 ~
3491,Shirish Hiralal Chaudhari,AMALNER,IND,4,Graduate,"Rs 85,12,16,408 ~ 85 Crore+","Rs 48,56,11,868 ~ 48 Crore+"
3492,Shirishkumar Surupsing Naik,NAWAPUR (ST),INC,0,Graduate,,
3493,Shirishkumar Vasantrao Kotwal,CHANDWAD,INC,1,10th Pass,"Rs 39,13,54,382 ~ 39 Crore+","Rs 94,81,115 ~ 94 Lacs+"
3494,Shital Sachin Bansode,AURANGABAD EAST,BSP,0,Graduate,"Rs 44,15,000 ~ 44 Lacs+",Rs 0 ~
3495,Shiva Krishnamurthi Iyer,KALYAN RURAL,IND,1,Post Graduate,,
3496,Shivaji Arun Gaikwad,VAIJAPUR,IND,0,Graduate,"Rs 31,13,000 ~ 31 Lacs+",Rs 0 ~
3497,Shivaji Ashok Khope,NASHIK WEST,Peoples Party of India (Democratic),0,Post Graduate,"Rs 10,000 ~ 10 Thou+",Rs 0 ~
3498,Shivaji Atmaram Bhise,BHOKARDAN,IND,0,10th Pass,,
3499,Shivaji Baburao Sawandkar,KALAMNURI,Maharashtra Swarajya party,0,Post Graduate,"Rs 1,67,41,573 ~ 1 Crore+","Rs 56,86,211 ~ 56 Lacs+"
3500,Shivaji Bapurao Thube,GANGAPUR,IND,0,Graduate,"Rs 20,000 ~ 20 Thou+",Rs 0 ~
3501,Shivaji Bhagwan Mane,SATARA,Rashtriya Samaj Paksha,0,12th Pass,,
3502,Shivaji Damodar Panchal,NAIGAON,IND,0,5th Pass,"Rs 1,54,00,000 ~ 1 Crore+","Rs 2,00,000 ~ 2 Lacs+"
3503,Shivaji Daulat Patil,AMALNER,IND,0,Post Graduate,"Rs 82,18,184 ~ 82 Lacs+","Rs 26,98,129 ~ 26 Lacs+"
3504,Shivaji Devaji Kamble,PATHRI,IND,0,10th Pass,,
3505,Shivaji Jaysingh Kokare,BARAMATI,IND,0,5th Pass,"Rs 56,67,928 ~ 56 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
3506,Shivaji Kerrappa Kumbhar,AUSA,IND,0,10th Pass,"Rs 9,06,000 ~ 9 Lacs+","Rs 1,00,000 ~ 1 Lacs+"
3507,Shivaji Maharu Hatkar,JALGAON RURAL,IND,3,Graduate,,
3508,Shivaji Natthu Patil,DHULE RURAL,IND,0,10th Pass,"Rs 2,30,000 ~ 2 Lacs+",Rs 0 ~
3509,Shivaji Pushpalata Uttamrao Pawar,HADAPSAR,Sambhaji Brigade Party,0,12th Pass,"Rs 41,85,923 ~ 41 Lacs+","Rs 23,55,000 ~ 23 Lacs+"
3510,Shivaji Shattupa Patil,CHANDGAD,IND,0,12th Pass,,
3511,Shivajirao Waman Damale,AHMEDNAGAR CITY,Sainik Samaj Party,0,Graduate Professional,"Rs 13,40,000 ~ 13 Lacs+",Rs 0 ~
3512,Shivanigappa Gurusidappa Vange,AKKALKOT,IND,1,12th Pass,"Rs 2,61,20,000 ~ 2 Crore+","Rs 10,20,000 ~ 10 Lacs+"
3513,Shivcharan Shankarsa Chede,ACHALPUR,Peoples Party of India (Democratic),0,Graduate,,
3514,Shivendraraje Abhaysinhraje Bhonsle,SATARA,BJP,6,12th Pass,"Rs 1,28,41,81,725 ~ 128 Crore+","Rs 10,33,60,691 ~ 10 Crore+"
3515,Shivhar Punjaram Kale,SHEVGAON,IND,0,12th Pass,"Rs 75,000 ~ 75 Thou+","Rs 2,00,000 ~ 2 Lacs+"
3516,Shivkaliprasad Katari,NAGPUR CENTRAL,Akhil Bhartiya Parivar Party,0,12th Pass,,
3517,Shivkumar Narayanrao Narangale,LOHA,Vanchit Bahujan Aaghadi,4,Graduate,"Rs 77,22,060 ~ 77 Lacs+","Rs 22,80,000 ~ 22 Lacs+"
3518,Shivlal Popatrao Dhanwate,YEVLA,IND,0,10th Pass,"Rs 2,00,16,927 ~ 2 Crore+",Rs 0 ~
3519,Shivprasad Laxmanrao Kajale,UMARGA (SC),Marathwada Mukti Morcha,0,Graduate,,
3520,Shivram Patil,JALGAON CITY,IND,1,Graduate,"Rs 70,49,424 ~ 70 Lacs+",Rs 0 ~
3521,Shivsharan Malikarjun Pujari,BELAPUR,BSP,1,12th Pass,"Rs 6,00,000 ~ 6 Lacs+",Rs 0 ~
3522,Shobha Shrishail Banshetti,SOLAPUR CITY NORTH,IND,0,5th Pass,,
3523,Shoib Khan Gulab Khan,MALEGAON CENTRAL,IND,0,Literate,"Rs 20,500 ~ 20 Thou+",Rs 0 ~
3524,Shraddha Shreedhar Jadhav,WADALA,Shiv Sena (Uddhav Balasaheb Thackeray),3,12th Pass,"Rs 44,29,78,220 ~ 44 Crore+","Rs 7,17,808 ~ 7 Lacs+"
3525,Shravan Kundlik Khandare,MURTIZAPUR (SC),Peoples Party of India (Democratic),0,Post Graduate,,
3526,Shravan Narayan Shinkar,SILLOD,IND,1,8th Pass,"Rs 5,99,473 ~ 5 Lacs+","Rs 48,500 ~ 48 Thou+"
3527,Shreedhar Vithoba Gadling,TEOSA,Jai Hind Jai Bharat Rashtriya Party,0,12th Pass,"Rs 5,00,000 ~ 5 Lacs+",Rs 0 ~
3528,Shri Bharat Khimji Shah,GOREGAON,Hindu Samaj Party,1,12th Pass,,
3529,Shri Virendra Vijay Jadhav,GOREGAON,MNS,4,12th Pass,"Rs 1,48,41,183 ~ 1 Crore+",Rs 0 ~
3530,Shridhar Bhojraj Tagde,NAGPUR NORTH (SC),IND,0,10th Pass,"Rs 88,01,863 ~ 88 Lacs+",Rs 0 ~
3531,Shridhar Wasudeo Khadse,BADNERA,IND,0,Graduate,,
3532,Shrihari Gangaram Kamble,NANDED SOUTH,BSP,0,12th Pass,"Rs 14,11,000 ~ 14 Lacs+",Rs 0 ~
3533,Shrihari Tukaram Bagal,MAGATHANE,Rashtriya Swarajya Sena,0,Graduate Professional,"Rs 15,19,485 ~ 15 Lacs+","Rs 32,70,000 ~ 32 Lacs+"
3534,Shrihari Vasant Mali,OSMANABAD,Rashtriya Samaj Paksha,1,5th Pass,,
3535,Shrihari Yadavrao Jagtap,GANSAVANGI,IND,0,Post Graduate,"Rs 1,42,40,915 ~ 1 Crore+","Rs 4,00,000 ~ 4 Lacs+"
3536,Shrikant Baburaoji Fulsawande,BADNERA,Republican Party of India (A),2,12th Pass,"Rs 12,63,520 ~ 12 Lacs+",Rs 0 ~
3537,Shrikant Karu Barsagade,SAKOLI,IND,0,Graduate,,
3538,Shrikant Madhavrao Karle,DHULE RURAL,IND,0,Illiterate,"Rs 17,40,000 ~ 17 Lacs+","Rs 10,00,000 ~ 10 Lacs+"
3539,Shrikant Shrimant Nalawade,PANDHARPUR,IND,1,12th Pass,"Rs 4,27,500 ~ 4 Lacs+","Rs 8,60,000 ~ 8 Lacs+"
3540,Shrikanya Tejes Daki,URAN,IND,0,12th Pass,,
3541,Shrikrishna Ramdas Ghyare,BALAPUR,IND,2,Graduate Professional,"Rs 23,85,000 ~ 23 Lacs+","Rs 87,000 ~ 87 Thou+"
3542,Shrikrushna Ghumdeo Dadmal,WARORA,IND,0,12th Pass,"Rs 75,500 ~ 75 Thou+",Rs 0 ~
3543,Shrinivas Satyanarayan Mattparti,ALIBAG,IND,0,10th Pass,,
3544,Shrinivas Sureshchandra Lahoti,PARBHANI,MNS,8,12th Pass,"Rs 5,70,358 ~ 5 Lacs+",Rs 0 ~
3545,Shrinivas Thimayya Valmiki,AMBARNATH (SC),IND,0,8th Pass,Nil,Rs 0 ~
3546,Shriniwas Rangappa Sangepag,SOLAPUR CITY CENTRAL,Vanchit Bahujan Aaghadi,0,8th Pass,,
3547,Shriniwas Vaijnath Potdar,HADGAON,IND,0,12th Pass,"Rs 8,00,000 ~ 8 Lacs+",Rs 0 ~
3548,Shripati Kondiba Kamble,KARAD NORTH,BSP,0,10th Pass,"Rs 7,00,000 ~ 7 Lacs+","Rs 2,45,000 ~ 2 Lacs+"
3549,Shripati Mahadev Chavan,INDAPUR,BSP,0,Graduate,,
3550,Shriram Baliram Mahadik,KARJAT,BSP,0,12th Pass,"Rs 2,30,000 ~ 2 Lacs+",Rs 0 ~
3551,Shriram Jayram Badade,MAJALGAON,MNS,2,12th Pass,"Rs 32,57,000 ~ 32 Lacs+","Rs 11,89,000 ~ 11 Lacs+"
3552,Shrirame Sudhakar Madhukar,BRAMHAPURI,IND,0,Post Graduate,,
3553,Shrirang Kernath Sarwade,UMARGA (SC),IND,0,8th Pass,"Rs 1,21,000 ~ 1 Lacs+",Rs 0 ~
3554,Shrisagar Prashant Babruvan,MAJALGAON,Right to Recall Party,0,Post Graduate,"Rs 55,61,785 ~ 55 Lacs+","Rs 44,24,294 ~ 44 Lacs+"
3555,Shubham Anil Adagale,SHIVAJINAGAR,Bahujan Bharat Party,0,Graduate,,
3556,Shubham Shyam Nakod,YEVLA,IND,0,12th Pass,"Rs 11,00,039 ~ 11 Lacs+","Rs 4,15,000 ~ 4 Lacs+"
3557,Shubhangi Navnath Dhaygude,DAUND,IND,0,12th Pass,"Rs 25,37,000 ~ 25 Lacs+",Rs 0 ~
3558,Shudhodhan Bharat Salwe,KHAMGAON,IND,0,5th Pass,,
3559,Shyam Bansilal Sharma,KHAMGAON,IND,0,5th Pass,"Rs 35,500 ~ 35 Thou+","Rs 25,000 ~ 25 Thou+"
3560,Shyam Ramcharan Khode,WASHIM (SC),BJP,1,10th Pass,"Rs 31,59,513 ~ 31 Lacs+","Rs 2,49,156 ~ 2 Lacs+"
3561,Shyam Shankarrao Jadhav,NANDED NORTH,IND,0,Graduate,,
3562,Shyambihari Kanhaiyalal Jaiswar,MALAD WEST,Rashtriya Swarajya Sena,1,Post Graduate,"Rs 2,06,088 ~ 2 Lacs+",Rs 0 ~
3563,Siddhant Ashokrao Wankhede,CHIKHLI,Aazad Samaj Party (Kanshi Ram),0,Post Graduate,"Rs 2,15,000 ~ 2 Lacs+",Rs 0 ~
3564,Siddharam Narayan Koli,AKKALKOT,IND,0,5th Pass,,
3565,Siddharam Satlingappa Mhetre,AKKALKOT,INC,1,Graduate,"Rs 57,83,44,998 ~ 57 Crore+","Rs 8,32,58,033 ~ 8 Crore+"
3566,Siddharam Somanna Kakanki,PANDHARPUR,IND,0,12th Pass,"Rs 4,79,615 ~ 4 Lacs+","Rs 4,00,000 ~ 4 Lacs+"
3567,Siddharth Akaramji Deole,WASHIM (SC),Shiv Sena (Uddhav Balasaheb Thackeray),1,Post Graduate,,
3568,Siddharth Anil Shirole,SHIVAJINAGAR,BJP,1,Graduate Professional,"Rs 25,26,84,574 ~ 25 Crore+","Rs 2,39,04,244 ~ 2 Crore+"
3569,Siddharth Kadaji Usture,MANKHURD SHIVAJINAGAR,IND,0,5th Pass,"Rs 1,87,20,616 ~ 1 Crore+","Rs 18,91,270 ~ 18 Lacs+"
3570,Siddharth Mahadev Suryawanshi,LATUR CITY,BSP,0,8th Pass,,
3571,Siddharth Moreshwarrao Dhoke,KATOL,IND,0,Post Graduate,"Rs 1,22,30,000 ~ 1 Crore+","Rs 70,000 ~ 70 Thou+"
3572,Siddharth Vishwanath Deware,KARANJA,IND,1,Graduate,"Rs 1,55,26,000 ~ 1 Crore+","Rs 3,70,000 ~ 3 Lacs+"
3573,Siddheswar Bhagwan Parihar,CHIKHLI,Vanchit Bahujan Aaghadi,0,10th Pass,,
3574,Siddik Ismail Shaikh,CHINCHWAD,All India Forward Bloc,0,Others,"Rs 37,27,000 ~ 37 Lacs+","Rs 28,50,000 ~ 28 Lacs+"
3575,Siddiqui Naseruddin Taquiuddin,AURANGABAD CENTRAL,All India Majlis-E-Ittehadul Muslimeen,6,Graduate,"Rs 1,84,74,405 ~ 1 Crore+",Rs 0 ~
3576,Sidharth Deepak Bodhak,SHRIRAMPUR (SC),IND,0,Graduate Professional,,
3577,Sikandar Baban Inamdar,RAHURI,Aazad Samaj Party (Kanshi Ram),0,10th Pass,"Rs 1,56,000 ~ 1 Lacs+",Rs 0 ~
3578,Siraj Alias Papa Fatruddin Sayyad,OSMANABAD,Tipu Sultan Party,0,10th Pass,"Rs 5,35,000 ~ 5 Lacs+",Rs 0 ~
3579,Siraj Khan,GHATKOPAR WEST,IND,0,8th Pass,,
3580,Sirsange Paresh Shankar,SHIVAJINAGAR,Vanchit Bahujan Aaghadi,0,Graduate,"Rs 2,51,150 ~ 2 Lacs+","Rs 34,90,254 ~ 34 Lacs+"
3581,Sitaram Annasaheb Gaysamudre,KALYAN EAST,IND,0,5th Pass,"Rs 5,03,000 ~ 5 Lacs+",Rs 0 ~
3582,Sitaram Divakar More,JALGAON CITY,IND,0,Graduate,,
3583,Sitaram Ghandat (Mama),GANGAKHED,Vanchit Bahujan Aaghadi,4,Literate,"Rs 22,36,49,356 ~ 22 Crore+","Rs 52,16,567 ~ 52 Lacs+"
3584,Sitaram Vitthal Randive,MADHA,IND,0,Post Graduate,"Rs 52,54,603 ~ 52 Lacs+","Rs 1,98,000 ~ 1 Lacs+"
3585,Sk Sayeed Sk Mushtaqe,CHIKHLI,IND,0,12th Pass,,
3586,Sk. Imran Sk. Bismilla,MALKAPUR,Indian Union Muslim League,1,8th Pass,"Rs 21,000 ~ 21 Thou+","Rs 10,000 ~ 10 Thou+"
3587,Smita Prafull Nagarale,WARDHA,IND,0,12th Pass,"Rs 2,00,500 ~ 2 Lacs+","Rs 57,000 ~ 57 Thou+"
3588,Sneha Devendra Patil,BHIWANDI RURAL (ST),IND,0,Graduate Professional,,
3589,Sneha Dube Pandit,VASAI,BJP,1,Graduate Professional,"Rs 1,68,66,201 ~ 1 Crore+","Rs 46,44,974 ~ 46 Lacs+"
3590,Snehal Arun Sohani,BHANDUP WEST,Vanchit Bahujan Aaghadi,2,Graduate Professional,"Rs 1,56,389 ~ 1 Lacs+",Rs 0 ~
3591,Snehal Manik Jagtap,MAHAD,Shiv Sena (Uddhav Balasaheb Thackeray),0,Graduate,,
3592,Snehal Sudhir Jadhav,WADALA,MNS,3,Others,"Rs 4,42,69,577 ~ 4 Crore+","Rs 14,54,168 ~ 14 Lacs+"
3593,Soham Alias Somanath Laxman Shirke,MAN,IND,10,Graduate Professional,"Rs 11,05,000 ~ 11 Lacs+","Rs 8,15,000 ~ 8 Lacs+"
3594,Someshwar Rajkumar Kadam,BEED,MNS,1,Graduate,,
3595,Sominath Rambhau Veer,AURANGABAD EAST,IND,0,12th Pass,"Rs 12,60,000 ~ 12 Lacs+",Rs 0 ~
3596,Somnath Haribhau Bhailume,KARJAT JAMKHED,Vanchit Bahujan Aaghadi,0,Graduate,"Rs 1,51,10,500 ~ 1 Crore+","Rs 3,00,000 ~ 3 Lacs+"
3597,Somnath Ramesh Chavan,KARAD NORTH,Rashtriya Samaj Paksha,8,10th Pass,,
3598,Somnath Rameshwar Vaidya,SOLAPUR SOUTH,IND,0,Graduate Professional,"Rs 18,49,65,663 ~ 18 Crore+",Rs 0 ~
3599,Somnath Shankar Aawale,KOREGAON,IND,0,8th Pass,"Rs 50,000 ~ 50 Thou+",Rs 0 ~
3600,Somnath Sopan Kadam,PARANDA,IND,3,12th Pass,,
3601,Sonali Sanjay Meshram,BADNERA,Open people’s Party,0,12th Pass,"Rs 10,09,000 ~ 10 Lacs+",Rs 0 ~
3602,Sonawane Shrikant Tulshidas,SHIVAJINAGAR,JD(S),0,Graduate,"Rs 3,20,000 ~ 3 Lacs+",Rs 0 ~
3603,Soni Santosh Netke,JALGAON RURAL,IND,0,12th Pass,,
3604,Soniya Sanjay Ingole,DOMBIVALI,Vanchit Bahujan Aaghadi,0,12th Pass,"Rs 6,49,153 ~ 6 Lacs+",Rs 0 ~
3605,Sontakke Prakash,NAGPUR EAST,IND,1,10th Pass,"Rs 24,50,000 ~ 24 Lacs+","Rs 16,00,000 ~ 16 Lacs+"
3606,Sonu. R. Tembhekar,TIRORA,IND,0,10th Pass,,
3607,Sopan Shankarrao Patode,HINGOLI,Bahujan Bharat Party,0,Graduate Professional,"Rs 6,66,000 ~ 6 Lacs+",Rs 0 ~
3608,Sow. Sushmita Subhash Dighe,BADNAPUR (SC),IND,0,Graduate,"Rs 2,05,88,349 ~ 2 Crore+",Rs 0 ~
3609,Soyal Shaha Yunus Shaha Shaikh,BARAMATI,Samata Party,0,Others,,
3610,Stela Sudhakar Gaikwad,MIRAJ (SC),IND,0,12th Pass,"Rs 4,90,331 ~ 4 Lacs+",Rs 0 ~
3611,Subhash Alias Pandit Patil,ALIBAG,IND,0,10th Pass,"Rs 95,75,305 ~ 95 Lacs+",Rs 0 ~
3612,Subhash Bhagwan Kolhe,LOHA,Sambhaji Brigade Party,6,12th Pass,,
3613,Subhash Digambar Kale,AIROLI,IND,2,Literate,"Rs 4,92,276 ~ 4 Lacs+",Rs 0 ~
3614,Subhash Ganu Bhoir,KALYAN RURAL,Shiv Sena (Uddhav Balasaheb Thackeray),1,10th Pass,"Rs 95,51,23,557 ~ 95 Crore+","Rs 55,18,803 ~ 55 Lacs+"
3615,Subhash Gotiram Pawar,MURBAD,NCP-Sharadchandra Pawar,1,10th Pass,,
3616,Subhash Jagannath Thengane,WARORA,IND,0,Others,"Rs 45,92,143 ~ 45 Lacs+","Rs 1,44,431 ~ 1 Lacs+"
3617,Subhash Khandu Pattebahadur,WASHIM (SC),IND,0,5th Pass,"Rs 1,75,000 ~ 1 Lacs+",Rs 0 ~
3618,Subhash Kisan Vavhale,JINTUR,Bahujan Republican Socialist Party,1,Literate,,
3619,Subhash Mahadeo Sawant,KALINA,IND,0,Graduate,"Rs 3,27,24,945 ~ 3 Crore+",Rs 0 ~
3620,Subhash Shankar Kasar,YAVATMAL,IND,1,5th Pass,"Rs 46,39,183 ~ 46 Lacs+","Rs 3,00,000 ~ 3 Lacs+"
3621,Subhash Shantaram Pawar,MURBAD,IND,0,5th Pass,,
3622,Subhash Trimbak Sabale,SHEVGAON,BSP,0,8th Pass,"Rs 5,26,000 ~ 5 Lacs+","Rs 4,00,000 ~ 4 Lacs+"
3623,Subhash Ukandrao Ranvir,UMARKHED (SC),BSP,0,Graduate,"Rs 38,40,000 ~ 38 Lacs+","Rs 6,50,000 ~ 6 Lacs+"
3624,Sudarshan Raychand Khandare,PANDHARPUR,Akhil Bharatiya Sena,0,Graduate,,
3625,Sudesh Kartik Bansod,TUMSAR,Apni Prajahit Party,0,12th Pass,"Rs 32,60,000 ~ 32 Lacs+","Rs 10,00,000 ~ 10 Lacs+"
3626,Sudhakar Baban Kale,SINDHKHED RAJA,IND,0,12th Pass,"Rs 30,26,000 ~ 30 Lacs+","Rs 12,00,000 ~ 12 Lacs+"
3627,Sudhakar Parshuram Ghare,KARJAT,IND,3,Graduate,,
3628,Sudhakar Sangram Bhalerao,UDGIR (SC),NCP-Sharadchandra Pawar,0,Graduate,"Rs 7,41,80,130 ~ 7 Crore+","Rs 59,00,000 ~ 59 Lacs+"
3629,Sudhakar Shankar Ghare,KARJAT,IND,0,Literate,"Rs 8,93,640 ~ 8 Lacs+",Rs 0 ~
3630,Sudhakar Tarachand Wakade,HINGNA,IND,0,10th Pass,,
3631,Sudhakar Vitthalrao Kohale,NAGPUR WEST,BJP,3,Graduate Professional,"Rs 10,12,32,393 ~ 10 Crore+","Rs 1,00,26,299 ~ 1 Crore+"
3632,Sudhakar Yadavrao Ghare,KARJAT,IND,0,5th Pass,"Rs 9,99,350 ~ 9 Lacs+",Rs 0 ~
3633,Sudhir Alias (Yuvraj Mama) Arjun Pol,MALSHIRAS (SC),IND,3,10th Pass,,
3634,Sudhir Alias Yuvraj (Mama) Arjun Pol,INDAPUR,IND,3,10th Pass,"Rs 43,40,000 ~ 43 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
3635,Sudhir Bandu Jadhav,MAHIM,BSP,0,Graduate,"Rs 37,63,760 ~ 37 Lacs+","Rs 5,00,000 ~ 5 Lacs+"
3636,Sudhir Bharat Mate,HADAPSAR,IND,0,12th Pass,,
3637,Sudhir Dayanand Patil,NAGPUR NORTH (SC),Desh Janhit Party,0,Graduate,"Rs 32,000 ~ 32 Thou+",Rs 0 ~
3638,Sudhir Laxman Jagtap,PIMPRI (SC),IND,1,Literate,"Rs 1,25,64,000 ~ 1 Crore+",Rs 0 ~
3639,Sudhir Laxman Parwe,UMRED (SC),BJP,0,12th Pass,,
3640,Sudhir Mahadeo Tonge,BRAMHAPURI,Rashtriya Samaj Paksha,0,12th Pass,"Rs 45,46,408 ~ 45 Lacs+",Rs 0 ~
3641,Sudhir Shankar Hole,GOREGAON,IND,0,Others,"Rs 1,34,183 ~ 1 Lacs+","Rs 7,535 ~ 7 Thou+"
3642,Sugat Gyaneshwar Waghmare,MURTIZAPUR (SC),Vanchit Bahujan Aaghadi,0,10th Pass,,
3643,Suhas (Aanna) Dwarkanath Kande,NANDGAON,Shiv Sena,3,Graduate,"Rs 25,99,33,569 ~ 25 Crore+","Rs 11,15,17,869 ~ 11 Crore+"
3644,Suhas Eknath More,WAI,IND,0,Graduate Professional,"Rs 1,30,18,000 ~ 1 Crore+","Rs 60,000 ~ 60 Thou+"
3645,Suhas Maruti Bansode,PARVATI,IND,1,12th Pass,,
3646,Suhasrao Vitthalrao Thakare,MORSHI,IND,0,Graduate,"Rs 57,77,100 ~ 57 Lacs+","Rs 21,77,000 ~ 21 Lacs+"
3647,Sujata Govind Gaikwad,AMBARNATH (SC),IND,1,Graduate,"Rs 80,411 ~ 80 Thou+","Rs 4,00,000 ~ 4 Lacs+"
3648,Sujit Shrikrushna Bangar,JALGAON (JAMOD),IND,0,12th Pass,,
3649,Suketu Rajesh Nanavati,MEERA BHAYANDAR,IND,0,8th Pass,"Rs 16,95,000 ~ 16 Lacs+",Rs 0 ~
3650,Sukhdev Brijlal Uike,MORSHI,Gondvana Gantantra Party,0,Graduate,"Rs 3,71,000 ~ 3 Lacs+",Rs 152 ~ 1 Hund+
3651,Sukhdev Ganpat Kharat,JUNNAR,IND,0,5th Pass,,
3652,Sukhdev Uddhv Bhamble,JINTUR,IND,0,5th Pass,"Rs 17,47,821 ~ 17 Lacs+","Rs 70,000 ~ 70 Thou+"
3653,Sulbha Ganpat Gaikwad,KALYAN EAST,BJP,0,5th Pass,"Rs 75,97,79,350 ~ 75 Crore+","Rs 8,82,42,988 ~ 8 Crore+"
3654,Sulbha Sanjay Khodke,AMRAVATI,NCP,0,Post Graduate,,
3655,Suleman Abbas Chirag Ali Haidery,KAMTHI,IND,1,10th Pass,"Rs 47,04,494 ~ 47 Lacs+","Rs 1,90,000 ~ 1 Lacs+"
3656,Sulochana Daughter Of Dagdu Aakshe,AURANGABAD WEST (SC),IND,0,Graduate,"Rs 2,33,41,555 ~ 2 Crore+","Rs 58,65,241 ~ 58 Lacs+"
3657,Sumedh Hiraman Bhawar,AMBARNATH (SC),IND,3,Graduate Professional,,
3658,Sumit Wankhede,ARVI,BJP,0,Graduate Professional,"Rs 5,47,86,274 ~ 5 Crore+",Rs 0 ~
3659,Sumitra Sahebrao Gayakwad,DARYAPUR (SC),Jan Janwadi Party,0,8th Pass,"Rs 3,40,000 ~ 3 Lacs+",Rs 0 ~
3660,Sumitrabai Alias Swati Vikram Jadhav Patil,LATUR RURAL,IND,1,Post Graduate,,
3661,Sumthankar Ramdas Patil,HINGOLI,IND,0,Graduate,"Rs 4,20,98,394 ~ 4 Crore+","Rs 2,02,61,657 ~ 2 Crore+"
3662,Sunanda Nandkishor Kothule,MAJALGAON,IND,0,Illiterate,"Rs 63,52,000 ~ 63 Lacs+","Rs 1,55,000 ~ 1 Lacs+"
3663,Sunanda Shankar Rasal,UMARGA (SC),BSP,0,Graduate,,
3664,Sunanda Vilas Sandanshiv,JALGAON CITY,Hindustan Janta Party,0,Graduate,"Rs 30,000 ~ 30 Thou+",Rs 0 ~
3665,Sundar Mhasukant Kamble,PIMPRI (SC),BSP,0,Graduate,"Rs 67,90,000 ~ 67 Lacs+","Rs 54,03,000 ~ 54 Lacs+"
3666,Sunil Baburao Lohar,TASGAON-KAVATHE MAHANKAL,IND,0,10th Pass,,
3667,Sunil Bhujangarao Avacharmal,AURANGABAD CENTRAL,Republican Party of India (Reformist),3,12th Pass,"Rs 60,000 ~ 60 Thou+",Rs 0 ~
3668,Sunil Dashrath Ingole,HINGOLI,Bhim Sena,0,8th Pass,"Rs 1,35,000 ~ 1 Lacs+",Rs 0 ~
3669,Sunil Dilip Salve,PHOLAMBARI,Peoples Party of India (Democratic),0,12th Pass,,
3670,Sunil Ginaji Ingle,BHOKARDAN,Republican Party of India (Democratic ),0,Graduate,"Rs 41,57,000 ~ 41 Lacs+","Rs 2,25,000 ~ 2 Lacs+"
3671,Sunil Hrudayshankar Vishwakarma,OVALA MAJIWADA,Lokrajya Party,1,12th Pass,"Rs 11,51,485 ~ 11 Lacs+",Rs 0 ~
3672,Sunil Kashinath Meshram,NAGPUR NORTH (SC),IND,0,Literate,,
3673,Sunil Kisanrao Sirasat,BALAPUR,IND,0,12th Pass,"Rs 13,75,000 ~ 13 Lacs+","Rs 1,50,000 ~ 1 Lacs+"
