Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1958,Kotambkar Ravindra Narhari,WARDHA,IND,27,Graduate,"Rs 1,82,69,694 ~ 1 Crore+","Rs 1,29,66,935 ~ 1 Crore+"
1959,Kothe Mahesh Vishnupant,SOLAPUR CITY NORTH,NCP-Sharadchandra Pawar,4,Post Graduate,,
1960,Krishna Laxman Desai,DINDOSHI,IND,0,Graduate,"Rs 2,35,000 ~ 2 Lacs+",Rs 0 ~
1961,Krishna Trimbakrao Pawar,PARTUR,All India Hindustan Congress Party,0,Post Graduate,"Rs 50,000 ~ 50 Thou+",Rs 0 ~
1962,Krishnalal Bajirao Sahare,BRAMHAPURI,BJP,0,Graduate,,
1963,Krishnarao Parshram Alias K P Patil,RADHANAGARI,Shiv Sena (Uddhav Balasaheb Thackeray),1,12th Pass,"Rs 13,00,86,904 ~ 13 Crore+","Rs 40,85,816 ~ 40 Lacs+"
1964,Krushna Bhujangrao Girge,PAITHAN,IND,0,8th Pass,"Rs 5,200 ~ 5 Thou+","Rs 48,000 ~ 48 Thou+"
1965,Krushna Damaji Gajbe,ARMORI (ST),BJP,0,Graduate,,
1966,Krushna Kashinath Yadav,PHALTAN (SC),IND,0,10th Pass,"Rs 1,60,68,100 ~ 1 Crore+",Rs 0 ~
1967,Krushna Madhukar Pagare,DEOLALI (SC),IND,0,8th Pass,"Rs 17,80,000 ~ 17 Lacs+","Rs 3,98,000 ~ 3 Lacs+"
1968,Krushna Nagnath Bhise,MOHOL (SC),IND,0,Others,,
1969,Krushna Pandurang Waghmare,URAN,All India Forward Bloc,0,10th Pass,"Rs 53,33,395 ~ 53 Lacs+",Rs 0 ~
1970,Krushnadev Pandurang Babar,TASGAON-KAVATHE MAHANKAL,IND,0,10th Pass,"Rs 23,72,600 ~ 23 Lacs+",Rs 0 ~
1971,Kshirsagar Nagnath Devidas,MOHOL (SC),Rashtriya Samaj Paksha,0,Others,,
1972,Kshirsagar Yogesh Bharatbhushan,BEED,NCP,2,Post Graduate,"Rs 12,85,82,000 ~ 12 Crore+","Rs 2,72,75,000 ~ 2 Crore+"
1973,Kshitij Hitendra Thakur,NALASOPARA,Bahujan Vikas Aaghadi,0,Post Graduate,"Rs 77,59,74,494 ~ 77 Crore+","Rs 36,41,91,874 ~ 36 Crore+"
1974,Kuche Narayan Tilakchand,BADNAPUR (SC),BJP,1,Graduate,,
1975,Kudalkar Mangesh,KURLA (SC),Shiv Sena,0,12th Pass,"Rs 7,48,91,982 ~ 7 Crore+","Rs 49,74,781 ~ 49 Lacs+"
1976,Kudke Mukindar Gangadhar,DEGLUR (SC),IND,0,Graduate,"Rs 18,600 ~ 18 Thou+",Rs 0 ~
1977,Kudratulla Adam Latif,RADHANAGARI,IND,0,Graduate,,
1978,Kul Rahul Subhashrao,DAUND,BJP,7,Graduate Professional,"Rs 7,70,33,757 ~ 7 Crore+","Rs 11,74,686 ~ 11 Lacs+"
